"Institution","Major","Avg Debt","Avg Payment","Salary 1 Yr","Salary 4 Yr","Projected Salary 10 Yr"
"California State University-Sacramento","Liberal Arts and Sciences, General Studies and Humanities",15351,159,28462,46959,79111
"California State University-Sacramento","Biology, General",18046,158,36546,55332,84983
"California State University-Sacramento","Mathematics",16396,177,36617,55955,86795
"California State University-Sacramento","Gerontology",20104,210,34929,51149,75814
"California State University-Sacramento","Parks, Recreation and Leisure Studies",21572,203,35455,52683,79311
"California State University-Sacramento","Health and Physical Education/Fitness",19291,180,29860,52213,93703
"California State University-Sacramento","Philosophy",17075,156,25029,36325,53332
"California State University-Sacramento","Geological and Earth Sciences/Geosciences",19058,159,43123,65131,99773
"California State University-Sacramento","Psychology, General",16707,159,29781,49078,82576
"California State University-Sacramento","Criminal Justice and Corrections",14664,139,36879,56016,86330
"California State University-Sacramento","Social Work",18611,178,35068,50432,73329
"California State University-Sacramento","Social Sciences, General",16698,171,34682,49984,72843
"California State University-Sacramento","Anthropology",19010,199,26836,44404,75040
"California State University-Sacramento","Economics",17849,164,46351,58522,74224
"California State University-Sacramento","Geography and Cartography",15569,169,48690,52747,57173
"California State University-Sacramento","Political Science and Government",17375,168,33502,53959,88567
"California State University-Sacramento","Sociology",16095,159,32163,50786,81597
"California State University-Sacramento","Drama/Theatre Arts and Stagecraft",18570,174,19004,27848,41307
"California State University-Sacramento","Film/Video and Photographic Arts",18203,165,25273,41945,71118
"California State University-Sacramento","Fine and Studio Arts",15749,161,23794,37788,61091
"California State University-Sacramento","Music",20162,204,29392,31496,33764
"California State University-Sacramento","Health Services/Allied Health/Health Sciences, General",16535,159,41036,58360,83859
"California State University-Sacramento","Communication Disorders Sciences and Services",16945,172,26533,57406,130504
"California State University-Sacramento","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",15602,146,109232,123869,140653
"California State University-Sacramento","Business Administration, Management and Operations",15746,143,46371,60075,78265
"California State University-Sacramento","History",19031,196,34086,49855,73802
"University of California-Berkeley","Natural Resources Conservation and Research",13395,136,46209,72049,114199
"University of California-Berkeley","Area Studies",15021,157,49341,77557,124002
"University of California-Berkeley","Ethnic, Cultural Minority, Gender, and Group Studies",17270,160,38704,54840,78493
"University of California-Berkeley","Communication and Media Studies",12814,118,45981,76374,129604
"University of California-Berkeley","Computer Science",14759,146,134990,178867,238575
"University of California-Berkeley","Chemical Engineering",16607,192,75816,108067,155657
"University of California-Berkeley","Electrical, Electronics and Communications Engineering",14283,145,130107,202911,321701
"University of California-Berkeley","Linguistic, Comparative, and Related Language Studies and Services",14821,148,31647,55407,99571
"University of California-Berkeley","Non-Professional General Legal Studies (Undergraduate)",14374,138,41247,56692,78580
"University of California-Berkeley","English Language and Literature, General",13801,138,30520,52942,94185
"University of California-Berkeley","Rhetoric and Composition/Writing Studies",13832,138,40975,51969,66224
"University of California-Berkeley","Statistics",17030,163,68693,102151,153910
"University of California-Berkeley","Cognitive Science",15241,155,65617,91715,129396
"University of California-Berkeley","Multi/Interdisciplinary Studies, Other",15872,154,41673,76643,145380
"University of California-Berkeley","Philosophy",14670,141,27318,53357,108173
"University of California-Berkeley","Chemistry",13654,117,52125,64496,80105
"University of California-Berkeley","Physics",15448,159,46183,61607,82753
"University of California-Berkeley","Social Work",14654,138,43440,60405,84759
"University of California-Berkeley","Anthropology",14072,133,38213,54062,77255
"University of California-Berkeley","Economics",13558,134,75879,106624,151277
"University of California-Berkeley","Political Science and Government",13920,138,44159,62430,89146
"University of California-Berkeley","Sociology",13924,138,43622,64119,95419
"University of California-Berkeley","Urban Studies/Affairs",14406,159,50738,81737,134191
"University of California-Berkeley","Social Sciences, Other",14782,159,55734,97257,174150
"University of California-Berkeley","Drama/Theatre Arts and Stagecraft",14831,159,20992,29047,40548
"University of California-Berkeley","Film/Video and Photographic Arts",15021,159,28283,39506,55698
"University of California-Berkeley","Fine and Studio Arts",13349,132,23600,46596,95609
"University of California-Berkeley","Public Health",12784,124,47032,67892,99110
"University of California-Berkeley","Business Administration, Management and Operations",12722,120,85079,123780,182206
"University of California-Berkeley","History",14599,138,28223,56461,117559
"University of California-Davis","Animal Sciences",13811,138,30665,42226,58643
"University of California-Davis","Food Science and Technology",14825,155,44431,65196,96844
"University of California-Davis","Natural Resources Conservation and Research",14817,159,37050,63206,110418
"University of California-Davis","Ethnic, Cultural Minority, Gender, and Group Studies",14502,148,31949,46911,69731
"University of California-Davis","Communication and Media Studies",13814,138,41257,60820,90791
"University of California-Davis","Computer and Information Sciences, General",13834,148,82605,129448,206291
"University of California-Davis","Biomedical/Medical Engineering",16611,169,57598,84254,124740
"University of California-Davis","Civil Engineering",15352,170,69109,91243,121243
"University of California-Davis","Mechanical Engineering",14468,147,67450,86137,110551
"University of California-Davis","Linguistic, Comparative, and Related Language Studies and Services",13816,146,24714,30444,37639
"University of California-Davis","Romance Languages, Literatures, and Linguistics",13828,151,30402,42942,61260
"University of California-Davis","English Language and Literature, General",14074,143,25681,46511,86745
"University of California-Davis","Biology, General",13643,138,31083,56137,104376
"University of California-Davis","Biochemistry, Biophysics and Molecular Biology",11322,117,37844,65761,117213
"University of California-Davis","Physiology, Pathology and Related Sciences",14274,150,36454,49781,68532
"University of California-Davis","Pharmacology and Toxicology",12725,128,43931,63950,94191
"University of California-Davis","Biotechnology",14312,136,52165,75451,110377
"University of California-Davis","Neurobiology and Neurosciences",13689,137,28427,51750,97064
"University of California-Davis","Mathematics",13454,126,41538,54406,71694
"University of California-Davis","Applied Mathematics",14219,138,34046,76162,179805
"University of California-Davis","Nutrition Sciences",13656,150,33709,53852,87618
"University of California-Davis","Chemistry",14420,138,40730,66311,110115
"University of California-Davis","Research and Experimental Psychology",13450,136,31228,53955,95571
"University of California-Davis","Psychology, Other",13895,149,30472,53727,97299
"University of California-Davis","Economics",13353,133,46055,71906,114138
"University of California-Davis","International Relations and National Security Studies",12788,133,32723,58151,106220
"University of California-Davis","Political Science and Government",13728,145,34285,54795,89192
"University of California-Davis","Sociology",13287,134,31734,50561,82026
"University of California-Davis","Social Sciences, Other",11775,133,43239,59076,81371
"University of California-Davis","Design and Applied Arts",14661,158,35637,55388,87491
"University of California-Davis","Fine and Studio Arts",14349,148,20484,38058,73003
"University of California-Davis","Business/Managerial Economics",12820,137,50762,78081,121971
"University of California-Irvine","Journalism",18156,182,29009,48898,84315
"University of California-Irvine","Computer and Information Sciences, General",19012,212,54089,94445,169230
"University of California-Irvine","Computer Science",15499,159,76863,111041,162235
"University of California-Irvine","Education, General",15949,168,23307,52320,124006
"University of California-Irvine","Chemical Engineering",18113,193,57131,82714,121126
"University of California-Irvine","Civil Engineering",17349,189,70245,86209,106171
"University of California-Irvine","Computer Engineering",17801,201,77316,100156,130469
"University of California-Irvine","Electrical, Electronics and Communications Engineering",18172,201,78437,93730,112301
"University of California-Irvine","Mechanical Engineering",15482,156,65130,83948,108785
"University of California-Irvine","Romance Languages, Literatures, and Linguistics",12712,95,36135,44184,54208
"University of California-Irvine","English Language and Literature, General",17168,174,24643,45524,86775
"University of California-Irvine","Biology, General",16078,165,21554,48182,113656
"University of California-Irvine","Mathematics",16599,180,40499,70461,125758
"University of California-Irvine","Multi/Interdisciplinary Studies, Other",16330,178,30867,51708,88561
"University of California-Irvine","Philosophy",20344,225,21725,52707,136490
"University of California-Irvine","Chemistry",15195,138,36431,65713,122012
"University of California-Irvine","Geological and Earth Sciences/Geosciences",16669,158,39574,57317,83969
"University of California-Irvine","Psychology, General",15068,158,27584,45212,75627
"University of California-Irvine","Research and Experimental Psychology",14613,138,26904,50813,99252
"University of California-Irvine","Anthropology",15920,170,21915,44884,95940
"University of California-Irvine","Criminology",16048,163,31898,50638,81830
"University of California-Irvine","Economics",15695,159,41941,63977,99050
"University of California-Irvine","Political Science and Government",16450,170,30382,55323,103794
"University of California-Irvine","Sociology",15327,159,31646,48998,77081
"University of California-Irvine","Urban Studies/Affairs",15165,160,29826,51127,89785
"University of California-Irvine","Film/Video and Photographic Arts",16149,170,28860,40166,56412
"University of California-Irvine","Fine and Studio Arts",17084,166,21738,36977,64394
"University of California-Irvine","Pharmacy, Pharmaceutical Sciences, and Administration",15895,162,18701,50557,148365
"University of California-Irvine","Public Health",16698,182,32713,53761,90185
"University of California-Irvine","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",15317,143,77109,102995,138535
"University of California-Irvine","Business Administration, Management and Operations",13038,138,46370,70854,109898
"University of California-Irvine","Business/Managerial Economics",15266,159,41931,66614,107731
"University of California-Irvine","History",16245,161,17984,57191,203195
"University of California-Los Angeles","Natural Resources Conservation and Research",16132,189,28445,69142,179442
"University of California-Los Angeles","Area Studies",17586,181,32410,55626,97819
"University of California-Los Angeles","Ethnic, Cultural Minority, Gender, and Group Studies",14693,157,24692,51490,112302
"University of California-Los Angeles","Computer and Information Sciences, General",15762,161,124958,164612,218226
"University of California-Los Angeles","Linguistic, Comparative, and Related Language Studies and Services",16367,159,35023,55469,89411
"University of California-Los Angeles","East Asian Languages, Literatures, and Linguistics",14047,147,24178,42261,75810
"University of California-Los Angeles","Romance Languages, Literatures, and Linguistics",14919,148,15502,55337,225845
"University of California-Los Angeles","English Language and Literature, General",13939,143,29377,52432,96230
"University of California-Los Angeles","Biology, General",16249,165,24001,55250,134745
"University of California-Los Angeles","Cell/Cellular Biology and Anatomical Sciences",16476,162,28388,55461,112471
"University of California-Los Angeles","Microbiological Sciences and Immunology",15062,154,28787,49690,87925
"University of California-Los Angeles","Neurobiology and Neurosciences",16643,177,28438,61875,141560
"University of California-Los Angeles","Applied Mathematics",15108,153,52231,81414,129001
"University of California-Los Angeles","Human Biology",13987,135,26877,73339,217565
"University of California-Los Angeles","Multi/Interdisciplinary Studies, Other",14825,157,39558,65593,111103
"University of California-Los Angeles","Philosophy",15267,159,32392,43881,59903
"University of California-Los Angeles","Psychology, General",14504,153,30089,52754,94950
"University of California-Los Angeles","Anthropology",15465,155,31974,46401,68120
"University of California-Los Angeles","Economics",15710,159,56910,81475,117901
"University of California-Los Angeles","Geography and Cartography",14513,141,36130,60363,103085
"University of California-Los Angeles","Political Science and Government",15802,159,33983,58937,104826
"University of California-Los Angeles","Sociology",15049,153,33632,54562,90259
"University of California-Los Angeles","Fine and Studio Arts",15694,148,20796,42938,92615
"University of California-Los Angeles","Business/Managerial Economics",16304,184,75026,92873,115402
"University of California-Los Angeles","History",13776,143,26872,47888,87744
"University of California-Riverside","Natural Resources Conservation and Research",16177,172,25936,53052,113238
"University of California-Riverside","Biomedical/Medical Engineering",20341,212,52567,80773,126035
"University of California-Riverside","Mechanical Engineering",20039,223,56620,75201,100552
"University of California-Riverside","Linguistic, Comparative, and Related Language Studies and Services",17299,186,19196,40426,89153
"University of California-Riverside","English Language and Literature, General",17921,191,20596,43429,95911
"University of California-Riverside","Rhetoric and Composition/Writing Studies",20398,220,20717,32082,50479
"University of California-Riverside","Liberal Arts and Sciences, General Studies and Humanities",17169,166,19736,53198,155580
"University of California-Riverside","Biology, General",17944,201,20079,44091,101926
"University of California-Riverside","Neurobiology and Neurosciences",18973,201,18008,44237,116206
"University of California-Riverside","Mathematics",17606,192,23287,51363,119335
"University of California-Riverside","Chemistry",19032,228,33450,45718,62996
"University of California-Riverside","Anthropology",19258,225,21809,36503,62461
"University of California-Riverside","Economics",17937,187,34661,56595,94277
"University of California-Riverside","International Relations and National Security Studies",17483,200,28667,46876,78210
"University of California-Riverside","Political Science and Government",17855,191,28369,51239,95277
"University of California-Riverside","Sociology",16797,173,24537,45734,88037
"University of California-Riverside","Film/Video and Photographic Arts",19035,217,21694,41093,80526
"University of California-Riverside","Fine and Studio Arts",17692,177,15175,36564,93944
"University of California-Riverside","Business Administration, Management and Operations",16112,175,39633,61624,97384
"University of California-Riverside","Business/Managerial Economics",17713,191,35798,55342,86919
"University of California-Riverside","History",18043,205,28327,41004,60034
"University of California-San Diego","Ethnic, Cultural Minority, Gender, and Group Studies",19907,257,32261,47820,71803
"University of California-San Diego","Communication and Media Studies",14046,140,33610,55039,91974
"University of California-San Diego","Computer Science",15867,171,100462,131731,173792
"University of California-San Diego","Chemical Engineering",17566,196,59082,85181,124186
"University of California-San Diego","Computer Engineering",18031,195,89176,126160,180281
"University of California-San Diego","Mechanical Engineering",18781,212,71484,94289,125166
"University of California-San Diego","Linguistic, Comparative, and Related Language Studies and Services",16446,154,22378,44631,92611
"University of California-San Diego","English Language and Literature/Letters, Other",17858,191,28837,45739,73844
"University of California-San Diego","Biology, General",17134,185,29796,56216,109678
"University of California-San Diego","Biochemistry, Biophysics and Molecular Biology",17068,184,40570,53331,70544
"University of California-San Diego","Biomathematics, Bioinformatics, and Computational Biology",16863,191,57021,115165,242353
"University of California-San Diego","Ecology, Evolution, Systematics, and Population Biology",17817,195,26285,45476,80671
"University of California-San Diego","Neurobiology and Neurosciences",17638,201,28411,55660,113222
"University of California-San Diego","Mathematics",16052,172,44994,56452,71132
"University of California-San Diego","International/Global Studies",16025,164,45275,63294,89316
"University of California-San Diego","Cognitive Science",16986,185,38387,67751,122832
"University of California-San Diego","Chemistry",16509,170,40890,60796,91585
"University of California-San Diego","Physics",17098,191,49741,77660,123270
"University of California-San Diego","Psychology, General",16534,164,26681,47072,85304
"University of California-San Diego","Clinical, Counseling and Applied Psychology",15354,159,29245,52252,96012
"University of California-San Diego","Economics",15866,155,47572,68970,101148
"University of California-San Diego","Political Science and Government",15780,159,30802,55931,104613
"University of California-San Diego","Sociology",13789,138,32258,52444,86955
"University of California-San Diego","Visual and Performing Arts, General",16628,159,22006,38954,70851
"University of California-San Diego","Drama/Theatre Arts and Stagecraft",14467,153,13467,37883,116450
"University of California-San Diego","Fine and Studio Arts",13971,157,23874,43657,82290
"University of California-San Diego","Public Health",15706,159,34392,53015,83006
"University of California-San Diego","Management Sciences and Quantitative Methods",15884,160,52302,71520,98601
"University of California-San Diego","History",16830,178,26842,48919,91866
"University of California-Santa Barbara","Natural Resources Conservation and Research",16699,172,35371,57262,94510
"University of California-Santa Barbara","Ethnic, Cultural Minority, Gender, and Group Studies",14724,140,31948,46808,69418
"University of California-Santa Barbara","Communication and Media Studies",13598,138,43753,61114,86161
"University of California-Santa Barbara","Computer Science",13526,143,93383,118830,151945
"University of California-Santa Barbara","Mechanical Engineering",14485,159,77246,90072,105234
"University of California-Santa Barbara","Romance Languages, Literatures, and Linguistics",16353,176,29715,49027,82596
"University of California-Santa Barbara","English Language and Literature, General",16669,179,30474,46505,72033
"University of California-Santa Barbara","Biology, General",15507,154,30215,57735,114235
"University of California-Santa Barbara","Ecology, Evolution, Systematics, and Population Biology",13679,135,26581,44113,74789
"University of California-Santa Barbara","International/Global Studies",15619,156,33881,52229,81779
"University of California-Santa Barbara","Philosophy",15756,159,24005,48289,101166
"University of California-Santa Barbara","Chemistry",17383,168,42746,64903,99986
"University of California-Santa Barbara","Physics",16584,169,51232,88722,157551
"University of California-Santa Barbara","Research and Experimental Psychology",15376,154,30385,53297,95975
"University of California-Santa Barbara","Anthropology",18091,191,29681,48435,80632
"University of California-Santa Barbara","Economics",14007,142,63367,88311,124209
"University of California-Santa Barbara","Geography and Cartography",15233,148,33941,57435,99456
"University of California-Santa Barbara","Political Science and Government",16430,159,39290,62470,101120
"University of California-Santa Barbara","Sociology",14400,143,32704,50703,79876
"University of California-Santa Barbara","Film/Video and Photographic Arts",15714,159,25591,47214,89868
"University of California-Santa Barbara","Fine and Studio Arts",16271,164,25597,49413,98882
"University of California-Santa Barbara","History",15561,151,27185,47117,83745
"University of California-Santa Cruz","Natural Resources Conservation and Research",17345,196,30268,49828,83743
"University of California-Santa Cruz","Ethnic, Cultural Minority, Gender, and Group Studies",19064,207,29569,49977,86429
"University of California-Santa Cruz","Computer Science",16976,175,70780,101953,148493
"University of California-Santa Cruz","Biomedical/Medical Engineering",20761,244,53120,83334,132959
"University of California-Santa Cruz","Computer Engineering",21766,248,81319,118191,173794
"University of California-Santa Cruz","Electrical, Electronics and Communications Engineering",17730,178,73142,99815,137316
"University of California-Santa Cruz","Linguistic, Comparative, and Related Language Studies and Services",17262,177,23208,38878,66587
"University of California-Santa Cruz","Non-Professional General Legal Studies (Undergraduate)",17787,190,36501,49862,68668
"University of California-Santa Cruz","Biology, General",19675,217,32898,52707,86020
"University of California-Santa Cruz","Cell/Cellular Biology and Anatomical Sciences",18446,196,38233,60883,98714
"University of California-Santa Cruz","Ecology, Evolution, Systematics, and Population Biology",17127,186,24769,35013,49990
"University of California-Santa Cruz","Cognitive Science",17944,201,30509,59051,118516
"University of California-Santa Cruz","Philosophy",15426,159,33752,39427,46149
"University of California-Santa Cruz","Chemistry",17971,159,37768,52368,73261
"University of California-Santa Cruz","Community Organization and Advocacy",16875,168,32576,45701,64729
"University of California-Santa Cruz","Anthropology",17111,170,24798,40257,66643
"University of California-Santa Cruz","Economics",17308,191,47501,73904,116869
"University of California-Santa Cruz","Political Science and Government",17193,177,31675,53304,91748
"University of California-Santa Cruz","Sociology",16503,166,28944,47904,80977
"University of California-Santa Cruz","Film/Video and Photographic Arts",16907,166,24519,34586,49270
"University of California-Santa Cruz","Fine and Studio Arts",19140,207,22254,33474,51055
"University of California-Santa Cruz","Business/Managerial Economics",16436,175,48700,78567,129188
"California Institute of the Arts","Drama/Theatre Arts and Stagecraft",24374,286,24655,29196,34656
"California Institute of the Arts","Fine and Studio Arts",27526,286,20837,13336,13336
"California State University Maritime Academy","Marine Transportation",25657,276,77822,98863,126194
"Chapman University","Communication and Media Studies",17444,199,41830,53027,67537
"Chapman University","Journalism",20715,236,42392,60210,86399
"Chapman University","Public Relations, Advertising, and Applied Communication",19355,236,42361,60270,86643
"Chapman University","English Language and Literature, General",20422,243,39423,44757,50881
"Chapman University","Biology, General",18762,217,21465,51869,133708
"Chapman University","Political Science and Government",20178,217,39682,64529,107019
"Chapman University","Design and Applied Arts",21974,253,43293,69235,112773
"Chapman University","Film/Video and Photographic Arts",18648,196,33416,51451,80458
"Chapman University","Public Health",22040,245,27878,60106,136106
"Chapman University","Business Administration, Management and Operations",19125,208,49614,83362,143240
"Chapman University","Accounting and Related Services",19560,221,64530,86240,116064
"Chapman University","Business/Managerial Economics",20401,244,62012,75777,92908
"Concordia University-Irvine","Communication and Media Studies",22561,263,39656,52501,69964
"Concordia University-Irvine","Psychology, General",22593,265,22148,41825,81684
"Concordia University-Irvine","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",19418,215,89465,93129,96956
"Claremont McKenna College","Economics",12708,127,93894,115832,143422
"Columbia College Hollywood","Film/Video and Photographic Arts",25903,283,21550,33684,53532
"Dominican University of California","Business Administration, Management and Operations",23121,265,54881,84698,132780
"FIDM-Fashion Institute of Design & Merchandising","Business, Management, Marketing, and Related Support Services, Other",28313,304,40023,50953,65184
"FIDM-Fashion Institute of Design & Merchandising-San Francisco","Business, Management, Marketing, and Related Support Services, Other",28313,304,40023,50953,65184
"Fresno Pacific University","Teacher Education and Professional Development, Specific Levels and Methods",22690,244,29207,47244,77905
"Fresno Pacific University","Human Development, Family Studies, and Related Services",21941,244,26065,39127,59547
"Fresno Pacific University","Business Administration, Management and Operations",22332,237,53235,62736,74099
"Fresno Pacific University","Human Resources Management and Services",24958,265,47546,59185,73968
"Golden Gate University","Business Administration, Management and Operations",32259,331,67445,87027,112904
"California State Polytechnic University-Humboldt","Natural Resources Conservation and Research",16924,159,27733,36894,49415
"California State Polytechnic University-Humboldt","Forestry",21695,223,44531,51526,59726
"California State Polytechnic University-Humboldt","Wildlife and Wildlands Science and Management",20742,232,25079,33037,43796
"California State Polytechnic University-Humboldt","Computer Science",17402,187,41486,72511,130069
"California State Polytechnic University-Humboldt","Environmental/Environmental Health Engineering",25602,265,52117,71510,98941
"California State Polytechnic University-Humboldt","English Language and Literature, General",17975,178,18000,32524,60504
"California State Polytechnic University-Humboldt","Liberal Arts and Sciences, General Studies and Humanities",17502,170,25539,34209,46150
"California State Polytechnic University-Humboldt","Biology, General",19923,211,27975,39303,55752
"California State Polytechnic University-Humboldt","Zoology/Animal Biology",20329,213,25280,26675,28154
"California State Polytechnic University-Humboldt","Multi/Interdisciplinary Studies, Other",16152,169,39597,38755,38755
"California State Polytechnic University-Humboldt","Health and Physical Education/Fitness",18582,209,23231,40750,73384
"California State Polytechnic University-Humboldt","Psychology, General",17020,159,25788,38617,58619
"California State Polytechnic University-Humboldt","Fine and Studio Arts",19112,193,18990,27664,40778
"California State Polytechnic University-Humboldt","Business Administration, Management and Operations",16821,164,32744,51034,80855
"Humphreys University-Stockton and Modesto Campuses","Teacher Education and Professional Development, Specific Levels and Methods",36041,406,35877,33253,33253
"University of La Verne","Communication and Media Studies",22399,240,31854,45274,65014
"University of La Verne","Teacher Education and Professional Development, Specific Subject Areas",21855,234,24161,32008,42684
"University of La Verne","Liberal Arts and Sciences, General Studies and Humanities",22890,244,25884,47665,90539
"University of La Verne","Psychology, General",22331,246,23665,46284,93974
"University of La Verne","Business Administration, Management and Operations",25883,257,52804,64888,80020
"Loma Linda University","Dental Support Services and Allied Professions",16600,159,66932,69969,73156
"Loma Linda University","Allied Health Diagnostic, Intervention, and Treatment Professions",24436,265,84928,77459,77459
"Loma Linda University","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",25098,253,94823,99294,103994
"The Master's University and Seminary","Liberal Arts and Sciences, General Studies and Humanities",16880,155,29942,43455,63799
"The Master's University and Seminary","Theological and Ministerial Studies",23399,228,38846,44574,51227
"The Master's University and Seminary","Business Administration, Management and Operations",21868,207,47630,57091,68619
"Loyola Marymount University","Communication and Media Studies",17496,188,38034,60597,98305
"Loyola Marymount University","English Language and Literature, General",20608,233,19845,56111,173520
"Loyola Marymount University","Psychology, General",18857,207,26125,50731,102187
"Loyola Marymount University","Economics",19227,213,52246,74490,107323
"Loyola Marymount University","Sociology",18042,188,33734,53785,87322
"Loyola Marymount University","Fine and Studio Arts",20846,237,24566,53748,123741
"Loyola Marymount University","Finance and Financial Management Services",18118,207,68113,90660,121495
"Loyola Marymount University","Marketing",21261,264,49588,70419,101030
"Marymount California University","Liberal Arts and Sciences, General Studies and Humanities",23152,228,13912,37720,111070
"Marymount California University","Business Administration, Management and Operations",20734,210,38188,47156,58446
"Mount Saint Mary's University","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",23646,265,92220,105602,121111
"National University","Computer Science",32165,337,75911,87481,100984
"National University","Computer/Information Technology Administration and Management",30518,348,65725,72428,79877
"National University","Teacher Education and Professional Development, Specific Levels and Methods",30683,331,40143,42374,44740
"National University","Multi-/Interdisciplinary Studies, General",31967,331,30370,48775,79811
"National University","Psychology, General",27703,298,39921,54307,74462
"National University","Criminal Justice and Corrections",26692,265,55725,55598,55598
"National University","Homeland Security",22702,248,60492,49301,49301
"National University","Sociology",28294,294,37925,45370,54422
"National University","Health Services/Allied Health/Health Sciences, General",28563,300,39970,57228,82821
"National University","Health and Medical Administrative Services",34227,373,51258,62287,75929
"National University","Clinical/Medical Laboratory Science/Research and Allied Professions",31208,296,56644,67037,79525
"National University","Public Health",32271,362,47285,49794,52448
"National University","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",30156,360,90125,97661,105884
"National University","Business Administration, Management and Operations",28384,298,57967,65522,74154
"National University","Accounting and Related Services",30194,331,52170,55550,59168
"National University","Management Information Systems and Services",26199,304,74510,85671,98664
"Notre Dame de Namur University","Business Administration, Management and Operations",24770,270,53223,80840,124587
"Otis College of Art and Design","Design and Applied Arts",26302,286,38103,50842,68312
"Hope International University","Psychology, General",26591,276,28980,42511,63127
"Hope International University","Business Administration, Management and Operations",23875,265,35625,53085,80157
"Pacific Oaks College","Human Development, Family Studies, and Related Services",24293,266,37300,44499,53225
"University of the Pacific","Teacher Education and Professional Development, Specific Levels and Methods",21854,240,44776,54497,66542
"University of the Pacific","Business Administration, Management and Operations",19462,207,50582,71120,100969
"Pepperdine University","Business Administration, Management and Operations",27244,286,63346,82688,108576
"Platt College-San Diego","Fine and Studio Arts",29869,329,31889,33815,35868
"Point Loma Nazarene University","Psychology, General",20783,233,29455,46593,75004
"Point Loma Nazarene University","Allied Health Diagnostic, Intervention, and Treatment Professions",23204,278,25165,56618,134535
"Point Loma Nazarene University","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",21176,263,89991,100394,112111
"Point Loma Nazarene University","Business Administration, Management and Operations",19123,199,42841,56297,74441
"Point Loma Nazarene University","Business/Corporate Communications",20160,240,36529,58762,96322
"University of Redlands","Psychology, General",23547,265,22106,44683,94115
"University of Redlands","Business/Commerce, General",34063,394,66369,69853,73536
"University of Redlands","Business Administration, Management and Operations",30202,286,57817,70785,86958
"University of Redlands","Accounting and Related Services",26691,286,66361,87099,115024
"Samuel Merritt University","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",20444,212,105374,135557,175310
"San Diego State University","Natural Resources Conservation and Research",15207,135,30302,61930,132062
"San Diego State University","Communication and Media Studies",16765,159,36295,50264,70227
"San Diego State University","Radio, Television, and Digital Communication",16528,163,26452,35695,48529
"San Diego State University","Public Relations, Advertising, and Applied Communication",17692,171,39786,62118,98601
"San Diego State University","Computer and Information Sciences, General",18128,174,53254,77291,113481
"San Diego State University","Computer Science",18171,179,66379,91805,128087
"San Diego State University","Teacher Education and Professional Development, Specific Levels and Methods",14101,135,26808,40772,62924
"San Diego State University","Aerospace, Aeronautical and Astronautical Engineering",20716,248,66378,90216,123580
"San Diego State University","Civil Engineering",19731,210,68933,86596,109258
"San Diego State University","Electrical, Electronics and Communications Engineering",18675,191,74909,90947,110766
"San Diego State University","Mechanical Engineering",19819,207,68736,91140,121650
"San Diego State University","English Language and Literature, General",16668,160,24893,45975,87612
"San Diego State University","Liberal Arts and Sciences, General Studies and Humanities",13871,136,22502,48538,109969
"San Diego State University","Biology, General",19015,191,34419,55383,90810
"San Diego State University","Multi/Interdisciplinary Studies, Other",16615,161,30328,39325,51279
"San Diego State University","Parks, Recreation and Leisure Studies",16787,159,32402,45975,65902
"San Diego State University","Health and Physical Education/Fitness",17016,162,25750,45819,83813
"San Diego State University","Chemistry",17971,191,35117,56479,92559
"San Diego State University","Psychology, General",15600,158,25820,37078,53829
"San Diego State University","Criminal Justice and Corrections",14734,143,31834,49823,79291
"San Diego State University","Public Administration",16306,159,34920,47513,65160
"San Diego State University","Social Work",17043,159,33425,44272,59026
"San Diego State University","Social Sciences, General",19512,213,21339,35496,60332
"San Diego State University","Anthropology",15490,137,24512,39194,63830
"San Diego State University","Economics",16528,162,43133,61799,89502
"San Diego State University","Political Science and Government",16553,184,31933,60648,119194
"San Diego State University","Sociology",15311,133,33287,40865,50344
"San Diego State University","Design and Applied Arts",15266,147,34237,48911,70619
"San Diego State University","Communication Disorders Sciences and Services",15649,148,22235,62478,191804
"San Diego State University","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",17061,184,93314,96266,99319
"San Diego State University","Business Administration, Management and Operations",16517,159,42036,66177,105984
"San Diego State University","Accounting and Related Services",18009,161,51752,79043,122542
"San Diego State University","Finance and Financial Management Services",16460,159,51482,63817,79412
"San Diego State University","Hospitality Administration/Management",16740,159,38378,32138,32138
"San Diego State University","Marketing",16707,159,45055,67600,102826
"San Diego State University","History",14498,147,32132,39883,49697
"University of San Diego","Communication and Media Studies",22426,254,39240,57436,85092
"University of San Diego","Mechanical Engineering",24345,278,72127,88885,109936
"University of San Diego","Political Science and Government",24547,269,34930,64626,123394
"University of San Diego","Business Administration, Management and Operations",19244,211,48909,70363,102349
"University of San Diego","Accounting and Related Services",22361,265,62948,88651,126074
"University of San Diego","Finance and Financial Management Services",19844,245,58860,88295,134276
"University of San Diego","International Business",20043,205,49814,76666,119833
"University of San Diego","Real Estate",18941,209,60776,93940,147511
